skull length,teeth row,palatine foramen,jaw length,species
385.828073,64.57665,62.72669,152.4702,argentiventer
441.549346,68.26371,75.16778,176.2797,argentiventer
363.161684,71.41457,70.61727,172.6794,argentiventer
394.881827,67.2759,68.65985,117.2702,argentiventer
437.889557,68.20717,65.57021,183.0551,argentiventer
375.41304,64.48879,72.86281,159.7065,argentiventer
383.11894,70.36951,69.19898,166.3134,argentiventer
440.127354,68.5373,73.89226,148.8918,argentiventer
356.851888,67.26847,68.18885,180.4851,argentiventer
371.756569,73.78611,84.96406,169.247,argentiventer
390.890249,68.17622,72.63614,176.4009,argentiventer
368.176562,66.20693,62.25737,172.5327,argentiventer
373.866725,70.80846,64.68229,129.3888,argentiventer
379.301757,71.26862,68.7358,145.4325,argentiventer
398.369143,72.81397,59.10478,190.7815,argentiventer
387.980084,72.60006,55.49287,165.7293,argentiventer
399.911617,62.55136,64.17774,140.6383,argentiventer
364.561134,60.10705,86.29485,195.2566,argentiventer
397.270616,68.96834,63.07138,182.0896,argentiventer
396.990961,62.67314,60.31431,169.0144,tiomanicus
392.519753,63.32299,62.21103,161.5913,tiomanicus
358.5784,61.63334,55.40393,159.5084,tiomanicus
387.775911,61.30278,64.16883,193.5579,tiomanicus
349.396504,60.69863,72.33353,154.1973,tiomanicus
367.931216,59.56734,61.68883,146.5894,tiomanicus
392.155891,64.06588,59.97536,154.8887,tiomanicus
359.107587,63.43544,67.18524,139.9063,tiomanicus
381.39963,63.57107,61.37068,161.0933,tiomanicus
356.870154,63.34034,76.38399,171.1978,tiomanicus
359.010603,59.43556,63.80391,147.9414,tiomanicus
375.44991,61.09366,58.83369,156.7546,tiomanicus
406.090221,62.82698,62.93769,150.2679,tiomanicus
373.687731,62.32763,62.58487,139.4667,tiomanicus
420.840206,62.10207,66.33349,162.6872,tiomanicus
357.632651,62.20721,71.55256,142.2578,tiomanicus
409.054906,60.2845,68.66448,181.2375,tiomanicus
411.446988,59.57913,67.67839,166.43,tiomanicus
407.635732,61.0901,57.75313,173.6543,tiomanicus
355.058729,61.23873,64.32757,169.8968,tiomanicus
380.380703,61.92931,66.12827,148.8258,tiomanicus
386.664052,62.77652,64.63408,168.8523,tiomanicus
386.538382,65.33341,54.66363,157.7054,tiomanicus
366.123278,58.23316,70.51821,161.4915,tiomanicus
371.024629,60.53766,73.68285,142.1386,tiomanicus
377.896968,69.13583,72.91979,152.313,tiomanicus
384.131849,58.73141,66.72415,139.5846,tiomanicus
385.063022,61.32721,65.44446,159.0468,tiomanicus
376.564935,62.85365,66.93538,193.3006,tiomanicus
374.375216,61.02683,61.58521,125.0964,tiomanicus
377.347203,60.805,70.85119,155.007,tiomanicus
365.514605,61.98384,52.63084,165.0583,tiomanicus
374.549626,60.99637,73.33659,157.8086,tiomanicus
413.343287,62.34144,64.18559,158.9061,tiomanicus
395.358891,59.59975,65.97555,153.674,tiomanicus
361.078358,60.25139,70.57079,146.4536,tiomanicus
400.46231,66.95667,60.72898,165.124,tiomanicus
354.78511,61.43267,64.48214,143.4885,tiomanicus
376.595489,58.49687,60.64186,157.3774,tiomanicus
402.835014,71.41631,70.20138,199.1763,annandalfi
420.004755,75.44247,55.92392,180.0717,annandalfi
400.568514,76.3965,69.1494,191.1231,annandalfi
402.263148,74.81224,74.07153,168.2475,annandalfi
403.406957,74.49458,63.5044,176.5705,annandalfi
361.972836,77.47631,68.79284,182.5027,annandalfi
459.882327,79.20532,81.72808,185.8298,annandalfi
416.205182,75.81835,57.54748,177.4681,annandalfi
425.501547,72.89447,64.23607,173.565,annandalfi
371.21387,75.77269,70.57423,181.7776,annandalfi
400.739912,76.95562,58.34166,182.7943,annandalfi
444.242036,74.44205,61.97656,186.2067,annandalfi
427.129912,74.69719,78.3522,177.4495,annandalfi
437.102074,74.69007,74.35518,197.3836,annandalfi
462.644712,73.11833,72.9335,174.6811,annandalfi
397.588022,74.44137,75.36903,166.2444,annandalfi
405.567095,75.56795,60.0532,173.451,annandalfi
490.098552,74.448,64.75537,212.5387,annandalfi
440.593038,76.33915,72.15257,181.7763,annandalfi
413.437196,75.58795,64.01258,178.6294,annandalfi
433.596226,75.73116,81.96877,157.0475,annandalfi
416.541942,73.05654,69.84997,199.0162,annandalfi
396.381973,79.03185,68.21919,193.662,annandalfi
414.910324,75.33025,48.85893,225.4474,annandalfi
463.932623,76.31362,69.70738,197.4128,annandalfi
361.985933,66.86787,56.46501,144.1788,rajah
377.207326,64.12899,53.41579,152.036,rajah
404.08561,65.02746,60.89345,147.2055,rajah
425.38072,65.4456,52.38328,171.4471,rajah
414.631424,65.7767,59.93276,163.2148,rajah
346.820981,62.92275,55.17006,161.3732,rajah
410.046872,61.75532,55.56228,145.7418,rajah
367.140491,65.11238,57.43556,153.1222,rajah
398.602778,68.20575,54.10499,151.9914,rajah
360.422083,68.86777,43.23434,167.2517,rajah
334.627933,63.26216,64.44371,144.5486,rajah
365.671636,67.76291,64.91872,166.0016,rajah
370.524297,66.51446,63.006,137.5362,rajah
423.967585,66.31301,61.08175,133.4373,rajah
393.036003,66.48152,54.43054,153.7896,rajah
383.546013,68.15687,47.77284,140.9561,rajah
323.620769,53.7721,43.02148,109.428,whiteheadi
317.484241,49.85439,42.9594,123.8819,whiteheadi
318.943403,53.06768,36.86813,118.613,whiteheadi
328.194742,50.07483,38.76365,127.7213,whiteheadi
314.117575,48.68235,39.20258,119.7715,whiteheadi
330.702697,50.04909,39.72017,116.6342,whiteheadi
307.483597,51.939,35.10753,116.1847,whiteheadi
304.302449,51.782,46.5996,117.7127,whiteheadi
331.774191,49.53547,38.45135,117.9831,whiteheadi
332.053494,50.3226,38.71535,113.9898,whiteheadi
325.843448,52.89269,40.49536,122.6719,whiteheadi
332.664283,51.19824,40.72418,124.452,whiteheadi
322.213048,45.66307,39.08332,126.8805,whiteheadi
326.654399,52.0017,44.67959,122.4,whiteheadi
313.295024,48.72896,35.09145,129.8975,whiteheadi
323.429267,52.71151,41.99355,128.6345,whiteheadi
332.650016,52.88909,38.03208,124.5717,whiteheadi
300.96707,52.9979,39.71099,125.0556,whiteheadi
309.098434,53.68929,48.88763,120.2683,whiteheadi
325.081748,51.80206,39.95512,122.9785,whiteheadi
319.050146,51.257,41.03578,126.9676,whiteheadi
308.838711,54.818,37.44984,110.908,whiteheadi
314.780057,51.82789,34.21439,115.2702,whiteheadi
317.181962,51.60934,38.9089,123.7884,whiteheadi
321.630874,49.2698,34.59936,112.8743,whiteheadi
321.074228,52.43838,34.71151,122.1461,whiteheadi
320.170109,51.62784,33.84547,123.4822,whiteheadi
311.403816,52.31744,43.7714,119.9768,whiteheadi
472.214348,61.70863,64.76928,148.8777,surifer
479.85146,61.70063,67.48596,135.8181,surifer
392.66368,65.43338,55.51616,150.1284,surifer
428.186503,57.3635,59.81934,155.0824,surifer
438.704559,60.04375,65.1824,170.777,surifer
476.230537,61.44975,68.64332,173.0602,surifer
443.687805,57.99162,59.12189,162.311,surifer
407.098908,59.68948,64.87204,140.7892,surifer
406.158573,57.38162,64.95963,163.0166,surifer
414.002747,63.29863,66.99093,169.579,surifer
379.068165,66.5936,64.55123,157.9155,
364.869398,62.65304,68.33859,157.1397,
376.541886,62.59457,68.67944,176.3601,
370.462284,63.72329,73.78676,138.5984,
391.720304,62.03446,65.54278,171.8931,
345.101061,61.29478,81.76533,162.9584,
373.582983,60.69852,65.66462,163.8021,
332.110669,59.75497,74.61051,156.1046,
410.679957,57.31868,79.66806,164.0646,
374.901941,61.06289,65.9517,158.6428,
399.561324,65.5948,76.0693,143.8882,
388.051776,59.49441,63.44866,152.428,
387.820491,57.3919,68.14224,158.4858,
381.42029,61.69647,69.24712,163.6702,
356.00567,63.72861,71.08337,147.9015,
395.466291,64.41006,70.88446,146.6507,
367.52861,59.82483,72.05463,158.62,
367.136557,63.53782,70.36265,153.3691,
354.40157,61.43002,70.6361,149.2279,
386.876467,63.90882,64.85121,151.7751,
371.020709,62.05401,61.20542,164.4212,
399.874472,53.00841,79.04453,162.4228,
376.14624,59.47063,66.12262,155.8308,
367.651386,62.99902,67.98708,143.6193,
390.684124,64.62382,71.04646,144.7265,
342.069251,54.01704,69.57433,159.7998,
367.882679,58.59707,64.65629,150.1881,
366.936781,56.12156,68.34479,138.3113,
371.487796,58.93963,61.13617,159.2815,
353.484405,66.19538,56.901,152.1094,
357.568888,53.44733,63.10371,138.0436,
395.787413,58.53838,71.32209,164.5735,
372.302963,53.9343,68.43407,146.1469,
373.801551,63.64718,72.0279,137.4435,
377.593751,60.92178,68.56941,145.3218,
398.452071,59.35535,71.24034,146.1256,
375.683634,62.64581,59.40753,155.6936,
395.750621,66.44451,76.06271,169.7336,
358.99508,67.84278,71.91121,145.6494,
444.534757,64.34009,58.45531,139.6552,
354.104649,62.35651,62.66362,153.954,
375.240715,65.40632,64.82447,150.6548,
381.25998,60.92192,73.28421,161.9963,
349.573608,56.81999,71.70403,158.599,
354.32335,63.76204,71.84854,156.0123,
376.379745,62.80917,68.08429,168.4941,
424.82395,57.58695,71.54852,185.9372,
366.137192,62.36001,70.6907,140.809,
384.700284,64.12325,71.8663,150.0908,
380.901065,63.20131,72.12167,155.1767,
366.058702,57.87284,63.1467,150.8807,
391.878717,60.52485,63.70823,164.2887,
408.674629,62.52217,72.0987,167.8703,
353.690274,58.33561,69.56381,159.7141,
378.597682,58.80132,71.55714,152.7472,
404.970935,65.26102,71.8349,153.2388,
407.243632,62.4257,67.58761,154.2149,
382.906629,64.80183,70.52872,157.2505,
405.304185,51.52223,60.78926,149.748,
329.267775,58.84023,67.33446,162.2921,
397.664436,62.47194,69.91491,166.1291,
402.072804,59.64655,71.26132,147.9038,
402.620647,64.37667,77.47302,151.3278,
320.994527,57.96079,70.91002,145.3553,
366.818863,64.05822,72.90712,141.0336,
364.843386,61.9384,69.1709,137.6316,
385.407452,64.82932,74.70111,168.4816,
400.661646,62.4597,65.89575,173.164,
362.023786,61.8668,71.72316,142.9021,
359.633206,59.38433,69.37593,151.7791,
409.071908,60.4559,67.24334,158.6054,
363.453028,65.41628,66.96864,168.9613,
364.791746,57.1352,69.45227,156.5625,
393.415766,56.19104,76.8987,169.3965,
371.439611,58.39855,66.60978,155.6141,
373.90768,60.91705,67.42816,170.6872,
401.684086,61.80455,64.55583,152.9957,
339.940055,59.61956,66.96967,153.6999,
416.4983,62.93599,68.02337,159.5776,
372.521946,57.46123,71.98959,161.1689,
382.049251,60.004,67.01149,160.2753,
369.593401,62.76238,70.53477,138.8514,
364.799937,58.98542,66.67126,148.383,
371.150325,59.14474,67.03862,176.6187,
372.016571,55.82993,69.10001,142.6577,
366.938539,64.44394,72.711,167.5197,
382.18344,65.5462,65.75643,166.0198,
410.257132,63.18806,72.85092,149.6285,
348.30198,62.67052,74.92107,155.6102,
368.474999,61.80276,64.77869,153.2527,
392.649859,61.99067,63.38549,146.4007,
397.683795,69.38365,69.34883,167.803,
390.381427,60.00085,66.45035,151.5224,
391.104115,57.16335,66.36588,180.8766,
393.445332,63.59364,66.59944,155.3612,
367.226122,60.79094,67.68197,167.6455,
353.214529,53.16016,69.3631,155.811,
384.688969,59.87578,66.77943,145.8226,
371.479788,58.47683,67.11533,156.4389,
402.601565,61.1261,71.76713,178.1139,
401.115829,54.56508,74.8105,162.6173,
361.427065,57.57551,71.97529,164.0355,
370.214893,56.16042,65.2254,148.3396,
361.881131,52.22489,64.30642,161.5527,
439.214276,65.38773,78.21662,156.9379,
380.651805,53.0134,62.75084,163.1639,
392.040384,58.7282,63.01621,154.6758,
415.170166,55.09616,68.4052,151.6073,
371.521433,63.69923,77.71729,154.1299,
381.256949,60.3168,71.87702,160.6556,
392.916081,67.85273,66.31758,172.1165,
363.858899,61.54689,66.37389,159.3873,
334.626497,62.52942,69.84422,161.294,
355.456662,58.161,64.89308,162.0624,
395.47828,59.74851,65.85728,160.4084,
